"election_id","cand_id","n_posts","n_attacks_fb","gender","birthyear","incumbent","party.x","ltw_id","invited","participated","n_tweets","n_attacks_tw","prop_attacks_fb","prop_attacks_tw","invited_bin","participated_bin","any_posts_tweets","jahr","land","wahl","female","age","immigr","party.y","incumb","governing","lr_self","extr_self","lr_party","extr_party","lr_voters","extr_voters","dist_party","dist_voters","big5_extra","big5_agrea","big5_consc","big5_emot","big5_open","race_chance","race_close","media_diffic","media_impact","camp_personal","camp_time","camp_budget","camp_staff","camp_manager"
"ltw_be_2021",47,4,1,"male",1962,0,"AfD","AA517659",1,1,1,0,0.25,0,1,1,1,2021,11,111,0,59,0,3,0,0,0.7,0.4,0.7,0.4,0.7,0.4,0.625,0.571428571428571,0.833333333333333,0.5,0.866666666666667,0.25,0.75,0.5,0,0.5,0.75,0.7,15,"1.000 Euro bis unter 5.000 Euro",6,0
"ltw_be_2021",47,4,1,"male",1962,0,"AfD","AA517659",1,1,1,0,0.25,0,1,1,1,2021,11,111,0,59,0,3,0,0,0.7,0.4,0.7,0.4,0.7,0.4,0.625,0.571428571428571,0.833333333333333,0.5,0.866666666666667,0.25,0.75,0.5,0,0.5,0.75,0.7,15,"1.000 Euro bis unter 5.000 Euro",6,0
"ltw_be_2021",190,6,0,"male",1982,0,"Die PARTEI","FP371838",2,3,1,0,0,0,1,1,1,2021,11,111,0,39,0,8,0,0,0.2,0.6,0.1,0.8,0.2,0.6,0.6875,0.571428571428571,0.916666666666667,0.3125,0.333333333333333,0.125,0.6875,0,0.5,1,1,1,1,"Unter 1.000 Euro",1,NA
"ltw_be_2021",190,6,0,"male",1982,0,"Die PARTEI","FP371838",2,3,1,0,0,0,1,1,1,2021,11,111,0,39,0,8,0,0,0.2,0.6,0.1,0.8,0.2,0.6,0.6875,0.571428571428571,0.916666666666667,0.3125,0.333333333333333,0.125,0.6875,0,0.5,1,1,1,1,"Unter 1.000 Euro",1,NA
"ltw_be_2021",262,415,175,"male",1972,0,"FREIE WÄHLER","NP574992",2,0,303,0,0.421686746987952,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_be_2021",262,415,175,"male",1972,0,"FREIE WÄHLER","NP574992",2,0,303,0,0.421686746987952,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_be_2021",441,12,0,"female",1970,1,"AfD","AB737549",1,0,197,35,0,0.177664974619289,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_be_2021",441,12,0,"female",1970,1,"AfD","AB737549",1,0,197,35,0,0.177664974619289,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_be_2021",449,19,0,"female",1987,0,"CDU","CT365651",1,1,1,0,0,0,1,1,1,2021,11,111,1,34,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,10,"1.000 Euro bis unter 5.000 Euro",4,0
"ltw_be_2021",449,19,0,"female",1987,0,"CDU","CT365651",1,1,1,0,0,0,1,1,1,2021,11,111,1,34,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,10,"1.000 Euro bis unter 5.000 Euro",4,0
